student_id,name,dob,gender,age,program
ST1039,Student_39,2008-11-03,0,22,MSc
ST1040,Student_40,2004-05-13,0,21,Diploma
ST1041,Student_41,2004-03-20,0,27,Diploma
ST1042,Student_42,2008-01-06,0,27,Diploma
ST1043,Student_43,2008-11-29,0,19,BSc
ST1044,Student_44,2012-12-17,0,18,MSc
ST1045,Student_45,2012-02-04,0,19,BTech
ST1046,Student_46,2012-01-19,1,17,BTech
ST1047,Student_47,2011-09-16,1,19,BSc
ST1048,Student_48,2003-05-11,0,19,BTech
ST1049,Student_49,2004-10-31,1,24,MSc
ST1050,Student_50,2011-04-21,0,18,BTech
ST1051,Student_51,2008-01-07,0,24,MSc
ST1052,Student_52,2005-08-10,1,23,BSc
ST1053,Student_53,2007-12-15,1,18,MSc
ST1054,Student_54,2010-01-23,0,20,Diploma
ST1055,Student_55,2004-05-30,0,17,BSc
ST1056,Student_56,2009-01-17,0,19,BSc
ST1057,Student_57,2013-09-03,1,26,BSc
ST1058,Student_58,2004-01-18,0,19,Diploma
ST1059,Student_59,2004-09-14,1,17,MSc
ST1060,Student_60,2004-08-13,0,24,Diploma
ST1061,Student_61,2008-01-30,1,19,BTech
ST1062,Student_62,2008-01-27,1,20,BTech
ST1063,Student_63,2004-04-09,0,26,BSc
ST1064,Student_64,2005-03-03,0,20,BSc
ST1065,Student_65,2004-05-21,1,21,MSc
ST1066,Student_66,2009-10-06,0,18,Diploma
ST1067,Student_67,2007-11-30,1,20,MSc
ST1068,Student_68,2004-10-28,0,22,BSc
ST1069,Student_69,2005-02-11,0,18,BSc
ST1070,Student_70,2007-10-22,0,23,Diploma
ST1071,Student_71,2006-05-10,0,22,BTech
ST1072,Student_72,2009-09-23,1,20,BTech
ST1073,Student_73,2009-07-03,1,20,Diploma
ST1074,Student_74,2004-04-08,0,20,BSc
ST1075,Student_75,2011-12-07,1,26,Diploma
ST1076,Student_76,2012-10-10,1,22,MSc
ST1077,Student_77,2012-05-09,1,23,Diploma
ST1078,Student_78,2006-09-15,1,26,BTech
ST1079,Student_79,2011-11-01,1,24,MSc
ST1080,Student_80,2012-05-14,1,27,BSc
ST1081,Student_81,2006-11-29,0,20,Diploma
ST1082,Student_82,2012-04-19,0,27,MSc
ST1083,Student_83,2007-03-24,0,18,Diploma
ST1084,Student_84,2011-09-14,1,25,Diploma
ST1085,Student_85,2013-08-25,1,27,BTech
ST1086,Student_86,2003-09-13,1,27,Diploma
ST1087,Student_87,2009-06-06,1,20,MSc
ST1088,Student_88,2006-11-22,0,21,BTech
ST1089,Student_89,2006-10-28,0,27,Diploma
ST1090,Student_90,2011-06-17,0,27,Diploma
ST1091,Student_91,2004-01-12,1,23,MSc
ST1092,Student_92,2008-07-19,1,25,MSc
ST1093,Student_93,2010-11-05,0,25,Diploma
ST1094,Student_94,2008-11-19,0,22,Diploma
ST1095,Student_95,2008-01-04,0,17,Diploma
ST1096,Student_96,2011-10-06,1,17,Diploma
ST1097,Student_97,2009-12-05,1,23,Diploma
ST1098,Student_98,2009-08-27,1,25,BTech
ST1099,Student_99,2011-07-28,0,17,Diploma
ST1100,Student_100,2012-12-18,1,25,MSc
ST1101,Student_101,2005-04-01,0,23,BSc
ST1102,Student_102,2006-12-14,1,22,Diploma
ST1103,Student_103,2003-04-26,0,27,Diploma
ST1104,Student_104,2011-11-16,0,18,BSc
ST1105,Student_105,2013-02-13,0,25,MSc
ST1106,Student_106,2003-04-22,0,20,BTech
ST1107,Student_107,2009-07-20,0,21,BTech
ST1108,Student_108,2004-08-22,1,26,Diploma
ST1109,Student_109,2003-02-24,0,18,Diploma
ST1110,Student_110,2007-12-19,1,21,MSc
ST1111,Student_111,2009-12-27,1,20,MSc
ST1112,Student_112,2003-07-08,0,21,BTech
ST1113,Student_113,2005-03-01,0,23,BTech
ST1114,Student_114,2004-12-19,0,18,Diploma
ST1115,Student_115,2009-12-03,1,23,Diploma
ST1116,Student_116,2010-04-15,1,27,BSc
ST1117,Student_117,2006-09-05,0,27,Diploma
ST1118,Student_118,2003-09-19,0,21,MSc
ST1119,Student_119,2008-01-07,1,20,BTech
ST1120,Student_120,2008-01-17,1,23,BTech
ST1121,Student_121,2007-02-07,1,21,MSc
ST1122,Student_122,2013-06-04,1,25,BSc
ST1123,Student_123,2010-07-31,0,19,BTech
ST1124,Student_124,2011-03-14,1,19,BTech
ST1125,Student_125,2006-10-06,1,24,Diploma
ST1126,Student_126,2013-10-28,1,21,BSc
ST1127,Student_127,2010-10-07,1,18,BSc
ST1128,Student_128,2013-06-12,1,26,BSc
ST1129,Student_129,2003-08-12,1,19,BTech
ST1130,Student_130,2003-11-19,1,25,Diploma
ST1131,Student_131,2007-12-09,1,24,BSc
ST1132,Student_132,2011-01-28,0,18,MSc
ST1133,Student_133,2005-03-10,0,20,BSc
ST1134,Student_134,2005-06-07,0,22,Diploma
ST1135,Student_135,2013-08-27,0,22,BSc
ST1136,Student_136,2010-05-23,0,17,BSc
ST1137,Student_137,2007-01-20,0,26,BSc
ST1138,Student_138,2011-12-23,1,17,MSc
ST1139,Student_139,2012-02-26,1,19,BSc
ST1140,Student_140,2009-12-11,0,20,BSc
ST1141,Student_141,2009-03-28,0,20,Diploma
ST1142,Student_142,2011-09-23,0,26,MSc
ST1143,Student_143,2007-01-06,1,21,BTech
ST1144,Student_144,2012-10-09,0,21,BTech
ST1145,Student_145,2012-01-31,1,21,BTech
ST1146,Student_146,2010-06-30,1,26,BSc
ST1147,Student_147,2012-09-03,1,24,Diploma
ST1148,Student_148,2012-01-28,0,17,MSc
ST1149,Student_149,2011-10-15,0,18,BSc
ST1150,Student_150,2009-10-28,1,19,BTech
ST1151,Student_151,2012-02-18,1,20,Diploma
ST1152,Student_152,2006-03-15,0,25,BTech
ST1153,Student_153,2010-10-11,1,27,BTech
ST1154,Student_154,2013-10-01,1,22,BTech
ST1155,Student_155,2007-07-12,0,25,BTech
ST1156,Student_156,2013-02-17,1,26,BTech
ST1157,Student_157,2010-04-20,0,24,MSc
ST1158,Student_158,2009-03-30,1,17,BTech
ST1159,Student_159,2006-08-21,1,18,BTech
ST1160,Student_160,2011-02-17,1,20,BTech
ST1161,Student_161,2013-06-11,1,26,BTech
ST1162,Student_162,2013-06-02,1,24,Diploma
ST1163,Student_163,2012-10-16,1,23,BTech
ST1164,Student_164,2006-01-31,1,27,BTech
ST1165,Student_165,2006-08-28,0,24,MSc
ST1166,Student_166,2006-12-06,0,17,BSc
ST1167,Student_167,2005-05-03,0,26,BSc
ST1168,Student_168,2003-02-13,1,17,Diploma
ST1169,Student_169,2009-08-05,0,23,MSc
ST1170,Student_170,2005-11-29,0,23,Diploma
ST1171,Student_171,2010-02-22,0,20,BSc
ST1172,Student_172,2008-03-27,0,20,Diploma
ST1173,Student_173,2006-12-06,0,20,BTech
ST1174,Student_174,2008-12-07,0,18,BTech
ST1175,Student_175,2005-06-01,1,19,Diploma
ST1176,Student_176,2005-06-12,0,20,BSc
ST1177,Student_177,2004-10-29,0,18,Diploma
ST1178,Student_178,2008-06-27,1,27,MSc
ST1179,Student_179,2006-05-05,0,21,BTech
ST1180,Student_180,2012-11-20,1,18,BTech
ST1181,Student_181,2009-10-05,0,22,Diploma
ST1182,Student_182,2010-09-12,1,22,BSc
ST1183,Student_183,2008-05-29,1,19,BTech
ST1184,Student_184,2012-07-24,1,17,Diploma
ST1185,Student_185,2011-02-18,0,25,MSc
ST1186,Student_186,2012-01-26,0,19,BTech
ST1187,Student_187,2011-01-11,0,26,BTech
ST1188,Student_188,2010-03-03,1,21,BSc
ST1189,Student_189,2011-12-24,0,22,MSc
ST1190,Student_190,2009-09-13,1,17,BSc
ST1191,Student_191,2004-09-30,1,17,Diploma
ST1192,Student_192,2003-09-29,1,26,Diploma
ST1193,Student_193,2008-01-14,0,19,MSc
ST1194,Student_194,2009-05-17,0,19,BTech
ST1195,Student_195,2004-05-09,0,21,Diploma
ST1196,Student_196,2012-08-31,1,24,MSc
ST1197,Student_197,2003-06-05,1,26,BSc
ST1198,Student_198,2010-12-03,0,19,Diploma
ST1199,Student_199,2007-12-10,0,26,BTech
ST1200,Student_200,2005-04-10,0,18,Diploma
ST1201,Student_201,2009-05-14,0,24,Diploma
ST1202,Student_202,2013-05-25,1,23,MSc
ST1203,Student_203,2004-05-11,0,19,BTech
ST1204,Student_204,2005-04-03,1,27,BTech
ST1205,Student_205,2006-03-07,1,22,MSc
ST1206,Student_206,2012-04-28,1,27,BTech
ST1207,Student_207,2003-01-19,1,18,Diploma
ST1208,Student_208,2012-08-24,0,24,BSc
ST1209,Student_209,2012-12-14,0,21,BSc
ST1210,Student_210,2012-05-20,1,25,BSc
ST1211,Student_211,2012-01-26,1,18,BTech
ST1212,Student_212,2009-04-26,1,27,Diploma
ST1213,Student_213,2011-08-22,1,25,BTech
ST1214,Student_214,2010-10-14,1,20,Diploma
ST1215,Student_215,2009-02-15,0,23,Diploma
ST1216,Student_216,2003-06-07,1,21,Diploma
ST1217,Student_217,2004-09-02,1,18,BSc
ST1218,Student_218,2013-07-22,1,26,Diploma
ST1219,Student_219,2011-05-07,1,22,Diploma
ST1220,Student_220,2013-10-24,0,18,BTech
ST1221,Student_221,2006-06-27,0,17,MSc
ST1222,Student_222,2009-01-21,1,22,BTech
ST1223,Student_223,2013-01-16,1,21,BTech
ST1224,Student_224,2005-04-30,1,23,Diploma
ST1225,Student_225,2012-06-08,0,26,MSc
ST1226,Student_226,2005-08-12,0,18,Diploma
ST1227,Student_227,2012-01-19,1,18,BTech
ST1228,Student_228,2006-10-22,1,27,BSc
ST1229,Student_229,2005-06-04,0,18,BTech
ST1230,Student_230,2010-09-28,0,26,BSc
ST1231,Student_231,2007-05-12,0,26,BSc
ST1232,Student_232,2009-12-23,1,18,MSc
ST1233,Student_233,2011-11-30,0,17,Diploma
ST1234,Student_234,2005-04-05,1,20,Diploma
ST1235,Student_235,2004-03-01,1,27,MSc
ST1236,Student_236,2007-07-11,1,19,BSc
ST1237,Student_237,2004-04-17,0,24,MSc
ST1238,Student_238,2004-10-11,0,21,Diploma
ST1239,Student_239,2012-12-05,1,25,BTech
ST1240,Student_240,2007-04-20,0,18,BTech
ST1241,Student_241,2011-06-16,1,26,BSc
ST1242,Student_242,2013-04-27,1,23,MSc
ST1243,Student_243,2007-06-21,1,21,BTech
ST1244,Student_244,2007-01-16,1,20,BTech
ST1245,Student_245,2009-11-29,0,22,BTech
ST1246,Student_246,2008-06-23,0,18,Diploma
ST1247,Student_247,2011-08-08,1,27,MSc
ST1248,Student_248,2004-03-28,0,23,MSc
ST1249,Student_249,2012-05-26,1,19,MSc
ST1250,Student_250,2003-07-11,0,27,MSc
ST1251,Student_251,2004-03-07,1,17,MSc
ST1252,Student_252,2003-05-03,0,19,BSc
ST1253,Student_253,2010-09-21,1,27,BSc
ST1254,Student_254,2013-12-02,0,17,BSc
ST1255,Student_255,2013-01-10,1,17,MSc
ST1256,Student_256,2011-11-22,0,27,MSc
ST1257,Student_257,2003-06-20,0,26,MSc
ST1258,Student_258,2006-07-17,1,23,Diploma
ST1259,Student_259,2003-03-29,0,22,BSc
ST1260,Student_260,2007-11-06,0,27,BTech
ST1261,Student_261,2007-01-08,1,24,BSc
ST1262,Student_262,2006-07-24,0,24,BSc
ST1263,Student_263,2008-01-03,1,24,Diploma
ST1264,Student_264,2006-03-19,1,23,BTech
ST1265,Student_265,2009-08-12,0,22,Diploma
ST1266,Student_266,2011-10-28,1,23,BSc
ST1267,Student_267,2006-08-15,1,22,BTech
ST1268,Student_268,2009-03-15,0,27,BSc
ST1269,Student_269,2009-09-13,1,20,MSc
ST1270,Student_270,2009-03-18,1,19,BSc
ST1271,Student_271,2013-11-30,0,22,BTech
ST1272,Student_272,2005-02-06,1,26,Diploma
ST1273,Student_273,2013-11-04,0,27,MSc
ST1274,Student_274,2012-09-19,0,17,BSc
ST1275,Student_275,2004-09-19,0,19,MSc
ST1276,Student_276,2004-06-24,0,25,BSc
ST1277,Student_277,2004-10-20,0,24,BTech
ST1278,Student_278,2007-09-25,1,20,MSc
ST1279,Student_279,2010-09-21,0,23,BTech
ST1280,Student_280,2006-09-20,1,26,BTech
ST1281,Student_281,2008-07-21,1,23,BTech
ST1282,Student_282,2007-09-12,1,24,Diploma
ST1283,Student_283,2010-08-15,0,23,BSc
ST1284,Student_284,2003-01-17,1,27,BTech
ST1285,Student_285,2009-04-20,0,20,BSc
ST1286,Student_286,2009-07-31,1,27,BSc
ST1287,Student_287,2009-10-14,1,22,BSc
ST1288,Student_288,2007-07-11,0,23,BSc
ST1289,Student_289,2012-10-31,0,20,BTech
ST1290,Student_290,2004-10-25,0,23,BTech
ST1291,Student_291,2007-03-13,1,21,Diploma
ST1292,Student_292,2012-03-07,0,25,MSc
ST1293,Student_293,2008-12-23,1,22,MSc
ST1294,Student_294,2008-08-15,0,24,Diploma
ST1295,Student_295,2006-11-14,0,18,BTech
ST1296,Student_296,2007-09-05,0,20,MSc
ST1297,Student_297,2008-09-03,1,19,BSc
ST1298,Student_298,2010-12-28,0,22,BTech
ST1299,Student_299,2003-12-21,0,20,MSc
ST1300,Student_300,2005-10-22,0,21,BTech
ST1301,Student_301,2009-06-13,0,27,Diploma
ST1302,Student_302,2009-01-08,1,26,BTech
ST1303,Student_303,2013-04-12,0,17,Diploma
ST1304,Student_304,2008-11-07,0,21,MSc
ST1305,Student_305,2013-11-28,0,17,Diploma
ST1306,Student_306,2009-10-07,0,27,BSc
ST1307,Student_307,2003-12-25,0,21,Diploma
ST1308,Student_308,2009-01-21,1,21,Diploma
ST1309,Student_309,2007-06-06,1,24,Diploma
ST1310,Student_310,2007-11-18,1,21,Diploma
ST1311,Student_311,2010-01-31,1,20,MSc
ST1312,Student_312,2009-11-21,1,23,BSc
ST1313,Student_313,2007-12-22,1,18,BSc
ST1314,Student_314,2013-11-16,0,21,BSc
ST1315,Student_315,2006-07-19,0,20,Diploma
ST1316,Student_316,2006-07-30,0,18,MSc
ST1317,Student_317,2007-01-30,1,18,BSc
ST1318,Student_318,2003-11-19,0,25,BTech
ST1319,Student_319,2012-07-15,1,20,MSc
ST1320,Student_320,2005-07-21,1,22,BSc
ST1321,Student_321,2004-03-11,0,21,BTech
ST1322,Student_322,2005-10-16,0,21,MSc
ST1323,Student_323,2007-06-13,0,23,MSc
ST1324,Student_324,2009-08-23,0,24,Diploma
ST1325,Student_325,2003-08-09,0,19,MSc
ST1326,Student_326,2003-10-14,0,27,BSc
ST1327,Student_327,2008-03-30,1,22,Diploma
ST1328,Student_328,2007-07-31,0,19,Diploma
ST1329,Student_329,2003-07-07,1,20,BTech
ST1330,Student_330,2004-10-22,1,23,BTech
ST1331,Student_331,2006-10-19,1,25,BSc
ST1332,Student_332,2008-01-19,1,18,BSc
ST1333,Student_333,2004-03-18,1,20,BSc
ST1334,Student_334,2012-05-03,1,22,BTech
ST1335,Student_335,2009-07-14,0,22,BTech
ST1336,Student_336,2011-12-14,0,25,BTech
ST1337,Student_337,2007-05-04,1,25,BSc
ST1338,Student_338,2009-03-19,0,21,Diploma
ST1339,Student_339,2004-07-31,0,27,MSc
ST1340,Student_340,2012-03-10,0,22,Diploma
ST1341,Student_341,2010-12-25,1,27,BSc
ST1342,Student_342,2005-06-26,1,18,BTech
ST1343,Student_343,2007-02-27,1,20,BSc
ST1344,Student_344,2007-05-22,1,26,MSc
ST1345,Student_345,2008-06-22,1,17,BSc
ST1346,Student_346,2008-04-09,1,21,MSc
ST1347,Student_347,2006-11-16,0,26,BTech
ST1348,Student_348,2012-03-10,1,22,MSc
ST1349,Student_349,2007-02-15,0,22,Diploma
ST1350,Student_350,2009-10-14,1,21,MSc
ST1351,Student_351,2004-01-29,1,27,BSc
ST1352,Student_352,2013-03-06,0,24,BTech
ST1353,Student_353,2010-04-12,0,19,Diploma
ST1354,Student_354,2012-03-13,1,23,MSc
ST1355,Student_355,2005-02-25,0,22,MSc
ST1356,Student_356,2003-10-05,1,22,BTech
ST1357,Student_357,2008-06-12,0,21,BSc
ST1358,Student_358,2012-12-14,0,19,BTech
ST1359,Student_359,2007-03-19,1,27,BSc
ST1360,Student_360,2005-03-12,0,21,BTech
ST1361,Student_361,2013-09-15,0,22,Diploma
ST1362,Student_362,2007-01-03,1,26,BTech
ST1363,Student_363,2010-02-09,1,22,MSc
ST1364,Student_364,2004-09-23,1,18,MSc
ST1365,Student_365,2004-07-25,0,22,BTech
ST1366,Student_366,2005-02-20,0,25,Diploma
ST1367,Student_367,2010-09-08,0,25,BSc
ST1368,Student_368,2010-07-10,1,19,BTech
ST1369,Student_369,2012-02-05,0,20,Diploma
ST1370,Student_370,2003-01-23,1,20,Diploma
ST1371,Student_371,2009-01-12,0,17,MSc
ST1372,Student_372,2011-04-12,1,23,Diploma
ST1373,Student_373,2004-09-25,1,24,MSc
ST1374,Student_374,2008-08-06,0,25,MSc
ST1375,Student_375,2011-09-01,0,21,BTech
ST1376,Student_376,2004-12-14,0,24,Diploma
ST1377,Student_377,2010-08-03,1,25,BTech
ST1378,Student_378,2006-02-18,1,23,BSc
ST1379,Student_379,2009-09-23,1,27,BTech
ST1380,Student_380,2006-01-02,1,23,Diploma
ST1381,Student_381,2004-02-22,1,24,MSc
ST1382,Student_382,2003-07-28,1,19,BTech
ST1383,Student_383,2010-07-20,0,19,BSc
ST1384,Student_384,2005-07-12,0,24,MSc
ST1385,Student_385,2006-06-18,1,20,Diploma
ST1386,Student_386,2004-10-16,1,23,BTech
ST1387,Student_387,2007-12-19,1,23,MSc
ST1388,Student_388,2005-02-21,1,20,BSc
ST1389,Student_389,2009-12-13,1,19,MSc
ST1390,Student_390,2006-09-30,0,20,MSc
ST1391,Student_391,2007-05-15,0,21,Diploma
ST1392,Student_392,2012-07-11,1,24,BTech
ST1393,Student_393,2013-07-23,0,22,MSc
ST1394,Student_394,2008-07-15,0,26,BSc
ST1395,Student_395,2010-05-10,0,26,BTech
ST1396,Student_396,2004-01-23,1,17,BSc
ST1397,Student_397,2013-11-17,1,23,BSc
ST1398,Student_398,2004-01-18,1,26,BTech
ST1399,Student_399,2004-03-25,1,22,Diploma
ST1400,Student_400,2009-12-11,1,19,BSc
ST1401,Student_401,2009-08-12,1,27,MSc
ST1402,Student_402,2011-12-10,0,27,MSc
ST1403,Student_403,2009-08-30,1,21,BSc
ST1404,Student_404,2008-10-14,0,22,BTech
ST1405,Student_405,2003-02-21,1,26,BTech
ST1406,Student_406,2005-11-22,1,24,Diploma
ST1407,Student_407,2011-01-21,0,22,MSc
ST1408,Student_408,2008-02-01,1,25,BTech
ST1409,Student_409,2013-12-06,0,17,BSc
ST1410,Student_410,2004-03-10,0,27,BTech
ST1411,Student_411,2004-06-08,0,25,MSc
ST1412,Student_412,2005-06-15,0,19,BTech
ST1413,Student_413,2005-03-28,1,20,BTech
ST1414,Student_414,2007-12-17,1,18,BTech
ST1415,Student_415,2008-04-18,0,26,MSc
ST1416,Student_416,2013-01-13,1,19,BSc
ST1417,Student_417,2003-08-16,0,27,MSc
ST1418,Student_418,2007-09-10,1,26,BSc
ST1419,Student_419,2005-06-07,1,20,BSc
ST1420,Student_420,2005-01-21,0,26,BSc
ST1421,Student_421,2003-12-19,0,20,BTech
ST1422,Student_422,2005-05-27,1,24,Diploma
ST1423,Student_423,2013-03-03,0,17,Diploma
ST1424,Student_424,2008-02-21,1,17,MSc
ST1425,Student_425,2009-04-09,1,22,BTech
ST1426,Student_426,2006-12-16,0,19,BTech
ST1427,Student_427,2009-04-11,0,27,MSc
ST1428,Student_428,2005-08-29,0,26,BTech
ST1429,Student_429,2011-08-03,1,26,MSc
ST1430,Student_430,2010-10-13,0,25,MSc
ST1431,Student_431,2005-07-15,1,20,Diploma
ST1432,Student_432,2010-05-26,1,21,BSc
ST1433,Student_433,2009-06-12,1,17,MSc
ST1434,Student_434,2011-03-10,0,20,BSc
ST1435,Student_435,2010-03-03,0,22,BSc
ST1436,Student_436,2006-04-30,0,25,BSc
ST1437,Student_437,2003-07-27,0,17,Diploma
ST1438,Student_438,2010-05-28,0,21,BSc
ST1439,Student_439,2011-09-01,1,24,MSc
ST1440,Student_440,2009-06-26,0,22,MSc
ST1441,Student_441,2007-10-21,1,22,BTech
ST1442,Student_442,2004-07-13,1,24,Diploma
ST1443,Student_443,2005-03-10,0,27,Diploma
ST1444,Student_444,2008-07-30,0,18,BSc
ST1445,Student_445,2011-06-23,1,17,MSc
ST1446,Student_446,2003-05-16,1,20,Diploma
ST1447,Student_447,2009-04-21,0,17,Diploma
ST1448,Student_448,2005-12-10,0,27,BSc
ST1449,Student_449,2011-08-07,1,27,BTech
ST1450,Student_450,2006-08-15,1,27,BTech
ST1451,Student_451,2004-11-24,1,24,BSc
ST1452,Student_452,2004-01-04,0,24,BSc
ST1453,Student_453,2008-08-04,0,18,BSc
ST1454,Student_454,2004-10-17,0,23,MSc
ST1455,Student_455,2011-05-20,0,23,BTech
ST1456,Student_456,2010-07-08,0,23,MSc
ST1457,Student_457,2009-05-28,0,24,MSc
ST1458,Student_458,2011-10-14,1,23,MSc
ST1459,Student_459,2011-11-13,0,17,BTech
ST1460,Student_460,2008-11-01,0,19,BTech
ST1461,Student_461,2013-09-04,1,20,BSc
ST1462,Student_462,2013-08-13,1,27,Diploma
ST1463,Student_463,2003-01-29,1,22,BTech
ST1464,Student_464,2012-08-22,0,19,Diploma
ST1465,Student_465,2005-01-13,1,23,MSc
ST1466,Student_466,2013-02-15,1,19,BTech
ST1467,Student_467,2010-10-30,0,26,BTech
ST1468,Student_468,2003-11-03,1,17,BSc
ST1469,Student_469,2010-05-16,0,21,BSc
ST1470,Student_470,2012-11-06,1,25,MSc
ST1471,Student_471,2006-04-16,1,17,BSc
ST1472,Student_472,2007-10-12,1,27,BSc
ST1473,Student_473,2008-12-29,1,19,BTech
ST1474,Student_474,2008-08-19,0,17,BTech
ST1475,Student_475,2008-08-11,0,18,BTech
ST1476,Student_476,2004-03-04,0,23,MSc
ST1477,Student_477,2010-10-05,0,27,MSc
ST1478,Student_478,2005-04-18,0,27,MSc
ST1479,Student_479,2005-02-16,1,26,BTech
ST1480,Student_480,2011-12-08,0,25,Diploma
ST1481,Student_481,2012-04-17,0,17,BTech
ST1482,Student_482,2009-11-24,1,19,BSc
ST1483,Student_483,2007-04-29,0,20,MSc
ST1484,Student_484,2012-12-10,1,23,Diploma
ST1485,Student_485,2004-10-20,0,20,MSc
ST1486,Student_486,2007-03-26,1,23,BTech
ST1487,Student_487,2012-08-13,1,21,BSc
ST1488,Student_488,2005-05-05,0,24,MSc
ST1489,Student_489,2010-02-05,0,20,MSc
ST1490,Student_490,2004-11-10,1,27,MSc
ST1491,Student_491,2008-04-26,1,24,BSc
ST1492,Student_492,2003-11-20,0,23,BSc
ST1493,Student_493,2006-03-21,1,17,BTech
ST1494,Student_494,2004-08-12,0,23,Diploma
ST1495,Student_495,2012-10-19,1,25,Diploma
ST1496,Student_496,2003-03-28,0,18,BSc
ST1497,Student_497,2013-07-30,1,25,MSc
ST1498,Student_498,2005-09-18,1,27,BSc
ST1499,Student_499,2006-06-13,1,17,BSc
